label,message,message_length,word_count,cleaned_message,processed_message
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,26,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,26,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc lccltd pobox ldnwarw,urgent week free membership prize jackpot txt word claim tc lccltd pobox ldnwarw
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,37,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
0,I HAVE A DATE ON SUNDAY WITH WILL!!,35,8,i have a date on sunday with will,date sunday
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,19,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclubcomnqjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl
0,Oh k...i'm watching here:),26,4,oh kim watching here,oh kim watch
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,19,eh u remember how spell his name yes i did he v naughty make until i v wet,eh u rememb spell name ye v naughti make v wet
0,Fine if thats the way u feel. Thats the way its gota b,56,13,fine if thats the way u feel thats the way its gota b,fine that way u feel that way gota b
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",155,24,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txt poboxoxwwq,england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txt poboxoxwwq
0,Is that seriously how you spell his name?,41,8,is that seriously how you spell his name,serious spell name
0,I‘m going to try for 2 months ha ha only joking,47,11,im going to try for months ha ha only joking,im go tri month ha ha joke
0,So ü pay first lar... Then when is da stock comin...,52,11,so pay first lar then when is da stock comin,pay first lar da stock comin
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,20,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
0,Ffffffffff. Alright no way I can meet up with you sooner?,57,11,ffffffffff alright no way i can meet up with you sooner,ffffffffff alright way meet sooner
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,28,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
0,Lol your always so convincing.,30,5,lol your always so convincing,lol alway convinc
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,32,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,catch bu fri egg make tea eat mom left dinner feel love
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,15,im back amp were packing the car now ill let you know if theres room,im back amp pack car ill let know there room
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,12,ahhh work i vaguely remember that what does it feel like lol,ahhh work vagu rememb feel like lol
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,26,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,wait that still clear sure sarcast that x doesnt want live us
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,41,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you,yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer
0,K tell me anything about you.,29,6,k tell me anything about you,k tell anyth
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,17,for fear of fainting with the of all that housework you just did quick have a cuppa,fear faint housework quick cuppa
1,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,29,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
0,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,122,28,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am,yup ok go home look time msg xuhui go learn nd may lesson
0,"Oops, I'll let you know when my roommate's done",47,9,oops ill let you know when my roommates done,oop ill let know roommat done
0,I see the letter B on my car,28,8,i see the letter b on my car,see letter b car
0,Anything lor... U decide...,27,4,anything lor u decide,anyth lor u decid
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,30,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,hello how saturday go text see youd decid anyth tomo im tri invit anyth
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,17,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,pl go ahead watt want sure great weekend abiola
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,34,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,forget tell want need crave love sweet arabian steed mmmmmm yummi
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,33,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
0,WHO ARE YOU SEEING?,19,4,who are you seeing,see
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,13,great i hope you like your man well endowed i am ltgt inches,great hope like man well endow ltgt inch
0,No calls..messages..missed calls,32,3,no callsmessagesmissed calls,callsmessagesmiss call
0,Didn't you get hep b immunisation in nigeria.,45,8,didnt you get hep b immunisation in nigeria,didnt get hep b immunis nigeria
0,"Fair enough, anything going on?",31,5,fair enough anything going on,fair enough anyth go
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,14,yeah hopefully if tyler cant do it i could maybe ask around a bit,yeah hope tyler cant could mayb ask around bit
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,30,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
0,What you thinked about me. First time you saw me in class.,58,12,what you thinked about me first time you saw me in class,think first time saw class
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,23,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,16,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,k fyi x ride earli tomorrow morn he crash place tonight
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",289,55,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,22,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,13,do you know what mallika sherawat did yesterday find out now lturlgt,know mallika sherawat yesterday find lturlgt
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,27,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out,congrat year special cinema pass call c suprman v matrix starwar etc free bxipw pm dont miss
0,"Sorry, I'll call later in meeting.",34,6,sorry ill call later in meeting,sorri ill call later meet
0,Tell where you reached,22,4,tell where you reached,tell reach
0,Yes..gauti and sehwag out of odi series.,40,7,yesgauti and sehwag out of odi series,yesgauti sehwag odi seri
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,23,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me,gonna pick burger way home cant even move pain kill
0,Ha ha ha good joke. Girls are situation seekers.,48,9,ha ha ha good joke girls are situation seekers,ha ha ha good joke girl situat seeker
0,Its a part of checking IQ,25,6,its a part of checking iq,part check iq
0,"Sorry my roommates took forever, it ok if I come by now?",56,12,sorry my roommates took forever it ok if i come by now,sorri roommat took forev ok come
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,24,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,28,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,valu custom pleas advis follow recent review mob award bonu prize call
0,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",122,23,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,today song dedic day song u dedic send ur valuabl frnd first rpli
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,22,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj,urgent ur award complimentari trip eurodisinc trav acoentri claim txt di morefrmmob shracomorsglsuplt ls aj
1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",78,15,did you hear about the new divorce barbie it comes with all of kens stuff,hear new divorc barbi come ken stuff
0,I plane to give on this month end.,34,8,i plane to give on this month end,plane give month end
0,Wah lucky man... Then can save money... Hee...,46,8,wah lucky man then can save money hee,wah lucki man save money hee
0,Finished class where are you.,29,5,finished class where are you,finish class
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,10,hi babe im at home now wanna do something xx,hi babe im home wanna someth xx
0,K..k:)where are you?how did you performed?,42,6,kkwhere are youhow did you performed,kkwhere youhow perform
0,U can call me now...,20,5,u can call me now,u call
0,I am waiting machan. Call me once you free.,43,9,i am waiting machan call me once you free,wait machan call free
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,14,thats cool i am a gentleman and will treat you with dignity and respect,that cool gentleman treat digniti respect
0,I like you peoples very much:) but am very shy pa.,50,11,i like you peoples very much but am very shy pa,like peopl much shi pa
0,Does not operate after  &lt;#&gt;  or what,42,7,does not operate after ltgt or what,oper ltgt
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,16,its not the same here still looking for a job how much do tas earn there,still look job much ta earn
0,"Sorry, I'll call later",22,4,sorry ill call later,sorri ill call later
0,K. Did you call me just now ah? ,32,8,k did you call me just now ah,k call ah
0,Ok i am on the way to home hi hi,32,10,ok i am on the way to home hi hi,ok way home hi hi
0,You will be in the place of that man,36,9,you will be in the place of that man,place man
0,Yup next stop.,14,3,yup next stop,yup next stop
0,"I call you later, don't have network. If urgnt, sms me.",55,11,i call you later dont have network if urgnt sms me,call later dont network urgnt sm
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,26,for real when u getting on yo i only need more tickets and one more jacket and im done i already used all my multis,real u get yo need ticket one jacket im done alreadi use multi
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,31,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,ye start send request make pain came back im back bed doubl coin factori gotta cash nitro
0,I'm really not up to it still tonight babe,42,9,im really not up to it still tonight babe,im realli still tonight babe
0,"Ela kano.,il download, come wen ur free..",41,7,ela kanoil download come wen ur free,ela kanoil download come wen ur free
0,Yeah do! Don‘t stand to close tho- you‘ll catch something!,58,10,yeah do dont stand to close tho youll catch something,yeah dont stand close tho youll catch someth
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,39,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuffmoro includ time sheet sorri
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,26,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,23,please call our customer service representative on between ampm as you have won a guaranteed cash or prize,pleas call custom servic repres ampm guarante cash prize
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,20,havent planning to buy later i check already lido only got show in e afternoon u finish work already,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,29,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml po box mk h ppw,free rington wait collect simpli text password mix verifi get usher britney fml po box mk h ppw
0,Watching telugu movie..wat abt u?,33,5,watching telugu moviewat abt u,watch telugu moviewat abt u
0,i see. When we finish we have loads of loans to pay,51,12,i see when we finish we have loads of loans to pay,see finish load loan pay
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",178,38,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u
0,I see a cup of coffee animation,31,7,i see a cup of coffee animation,see cup coffe anim
0,Please don't text me anymore. I have nothing else to say.,57,11,please dont text me anymore i have nothing else to say,pleas dont text anymor noth els say
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,21,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,okay name ur price long legal wen pick u ave x am xx
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,16,im still looking for a car to buy and have not gone the driving test yet,im still look car buy gone drive test yet
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,36,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
0,Umma my life and vava umma love you lot dear,44,10,umma my life and vava umma love you lot dear,umma life vava umma love lot dear
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,17,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,thank lot wish birthday thank make birthday truli memor
0,"Aight, I'll hit you up when I get some cash",43,10,aight ill hit you up when i get some cash,aight ill hit get cash
0,How would my ip address test that considering my computer isn't a minecraft server,82,14,how would my ip address test that considering my computer isnt a minecraft server,would ip address test consid comput isnt minecraft server
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,24,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,know grumpi old peopl mom like better lie alway one play joke
0,Dont worry. I guess he's busy.,30,6,dont worry i guess hes busy,dont worri guess he busi
0,What is the plural of the noun research?,40,8,what is the plural of the noun research,plural noun research
0,Going for dinner.msg you after.,31,5,going for dinnermsg you after,go dinnermsg
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,24,im ok wif it cos i like try new things but i scared u dun like mah cos u said not too loud,im ok wif co like tri new thing scare u dun like mah co u said loud
1,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,158,27,gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call claim code k valid hrs only ppm,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,24,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,32,as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,enter cabin pa said happi bday boss felt special askd lunch lunch invit apart went
1,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,152,27,you are a winner u have been specially selected receive or a holiday flights inc speak to a live operator claim pmin,winner u special select receiv holiday flight inc speak live oper claim pmin
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,12,goodo yes we must speak friday eggpotato ratio for tortilla needed,goodo ye must speak friday eggpotato ratio tortilla need
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,15,hmmmy uncle just informed me that hes paying the school directly so pls buy food,hmmmi uncl inform he pay school directli pl buy food
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,20,private your account statement for shows unredeemed bonus points to claim call identifier code expires,privat account statement show unredeem bonu point claim call identifi code expir
1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",156,26,urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline boxwrc ppm,urgent mobil award bonu caller prize final tri contact u call landlin boxwrc ppm
0,here is my new address -apples&pairs&all that malarky,53,8,here is my new address applespairsall that malarky,new address applespairsal malarki
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,27,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app,today voda number end select receiv award match pleas call quot claim code standard rate app
0,I am going to sao mu today. Will be done only at 12 ,52,13,i am going to sao mu today will be done only at,go sao mu today done
0,Ü predict wat time ü'll finish buying?,38,7,predict wat time ll finish buying,predict wat time finish buy
0,"Good stuff, will do.",20,4,good stuff will do,good stuff
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,46,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
0,Are you there in room.,22,5,are you there in room,room
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,27,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,K..k:)how much does it cost?,28,5,kkhow much does it cost,kkhow much cost
0,I'm home.,9,2,im home,im home
0,"Dear, will call Tmorrow.pls accomodate.",39,5,dear will call tmorrowpls accomodate,dear call tmorrowpl accomod
0,First answer my question.,25,4,first answer my question,first answer question
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,125,25,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to sptyrone,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sptyron
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,28,want get laid tonight want real dogging locations sent direct ur mob join the uks largest dogging network bt txting gravel to nt eca pmsgp,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt eca pmsgp
0,I only haf msn. It's yijue@hotmail.com,38,6,i only haf msn its yijuehotmailcom,haf msn yijuehotmailcom
0,He is there. You call and meet him,34,8,he is there you call and meet him,call meet
0,No no. I will check all rooms befor activities,46,9,no no i will check all rooms befor activities,check room befor activ
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,32,youll not rcv any more msgs from the chat svc for free hardcore services text go to if u get nothing u must age verify with yr network try again,youll rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri
0,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,85,20,got c i lazy to type i forgot in lect i saw a pouch but like not v nice,got c lazi type forgot lect saw pouch like v nice
0,"K, text me when you're on the way",33,8,k text me when youre on the way,k text your way
0,"Sir, Waiting for your mail.",27,5,sir waiting for your mail,sir wait mail
0,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",156,26,a swt thought nver get tired of doing little things lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni,swt thought nver get tire littl thing lovabl person cozsomtim littl thing occupi biggest part heart gud ni
0,I know you are. Can you pls open the back?,42,10,i know you are can you pls open the back,know pl open back
0,Yes see ya not on the dot,25,7,yes see ya not on the dot,ye see ya dot
0,Whats the staff name who is taking class for us?,48,10,whats the staff name who is taking class for us,what staff name take class us
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,29,freemsg why havent you replied to my text im randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,15,ummmawill call after check inour life will begin from qatar so pls pray very hard,ummmawil call check inour life begin qatar pl pray hard
0,K..i deleted my contact that why?,33,6,ki deleted my contact that why,ki delet contact
0,Sindu got job in birla soft ..,30,7,sindu got job in birla soft,sindu got job birla soft
0,The wine is flowing and i'm i have nevering..,45,9,the wine is flowing and im i have nevering,wine flow im never
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,15,yup i thk cine is better cos no need go down plaza mah,yup thk cine better co need go plaza mah
0,Ok... Ur typical reply...,25,4,ok ur typical reply,ok ur typic repli
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,80,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one
0,Aaooooright are you at work?,28,5,aaooooright are you at work,aaooooright work
0,I'm leaving my house now...,27,5,im leaving my house now,im leav hous
